product_id,model,image_position,url,issue_type,confidence,replacement_source
10000043732626,BQ-014,3,https://sc04.alicdn.com/kf/Hadd52dc55814404db8a74c19b90c4409c.jpg,疑似主体贴边、裁切或满画布；国内电商拼图/复杂背景；异常深色或强色背景/边缘图形,HIGH,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
1601924755368,BQ039 / 155,3,https://sc04.alicdn.com/kf/S74772d272c95480bbd89b73bd8404b75I.jpg,异常深色或强色背景/边缘图形,MEDIUM,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
1601924755368,BQ039 / 155,6,https://sc04.alicdn.com/kf/S5d4f0994a8204e759d21ee71a82b70ddC.jpg,异常深色或强色背景/边缘图形,MEDIUM,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
10000043744505,BQ-012,3,https://sc04.alicdn.com/kf/Hfbd7b30d29d046319b9ef85696cc8bedU.jpg,疑似主体贴边、裁切或满画布；国内电商拼图/复杂背景；异常深色或强色背景/边缘图形,HIGH,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
12000003229472,DZ14546082-A,4,https://sc04.alicdn.com/kf/Aa57eb45d0ed74f849dc197da405200edY.png,疑似主体贴边、裁切或满画布；国内电商拼图/复杂背景；异常深色或强色背景/边缘图形,HIGH,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
12000003229472,DZ14546082-A,6,https://sc04.alicdn.com/kf/Af0654a3029fe429cb8b4ad80fcf1c3cdJ.png,疑似主体贴边、裁切或满画布；国内电商拼图/复杂背景,HIGH,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
10000047216427,BQ051 / K6689,1,https://sc04.alicdn.com/kf/S55becab4efa34e03b2041e7918b82e210.jpg,异常深色或强色背景/边缘图形,MEDIUM,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
10000047216427,BQ051 / K6689,2,https://sc04.alicdn.com/kf/Sd2821a68cfcf4af48c465e31599c1ba1f.jpg,异常深色或强色背景/边缘图形,MEDIUM,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
1601924732369,BQ038 / M889,2,https://sc04.alicdn.com/kf/Ha515e548ce2e4e10b6f8f0811102fec74.jpg,异常深色或强色背景/边缘图形,MEDIUM,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
1601924732369,BQ038 / M889,3,https://sc04.alicdn.com/kf/H4451752dbad447af8de76378a40cb2ecQ.jpg,异常深色或强色背景/边缘图形,MEDIUM,同一SKU本地原始素材中对应槽位；如无合适视图，重做单一完整鞋体/鞋底/颜色图，上传图片银行后替换
