source_bq,source_model,product_id,link_code,week_pst,search_impressions,search_clicks,search_ctr,visitors,inquiries,row_id_verified,traffic_detail,decision
BQ010,R1601,1601939589876,BQ010-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ010,R1601,1601939734070,BQ010-R1,2026-W35,2,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ010,R1601,1601939573998,BQ010-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ006,M8811,1601939660427,BQ006-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ006,M8811,1601939655430,BQ006-R1,2026-W35,1,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ006,M8811,1601939735063,BQ006-O1,2026-W35,0,0,0%,1,0,Y,流量来源与访客地域均未披露,UNATTRIBUTED_VISITOR_PROTECT_WAIT_D7
BQ014,A507,1601939669411,BQ014-W1,2026-W35,2,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ014,A507,1601939658415,BQ014-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ014,A507,1601939608686,BQ014-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ026,T5828,1601939745065,BQ026-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ026,T5828,1601939725201,BQ026-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ026,T5828,1601939714238,BQ026-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ024,A830,1601939691342,BQ024-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_LINK_D7
BQ024,A830,1601939684371,BQ024-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_LINK_D7
BQ024,A830,1601939691340,BQ024-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_LINK_D7
