source_bq,source_model,product_id,link_code,week_pst,search_impressions,search_clicks,search_ctr,visitors,inquiries,row_id_verified,traffic_detail,decision
BQ002,BQ-002,1601939654418,BQ002-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ002,BQ-002,1601939614689,BQ002-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ002,BQ-002,1601939635505,BQ002-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ004,A502,1601939626612,BQ004-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ004,A502,1601939738037,BQ004-R1,2026-W35,2,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ004,A502,1601939700200,BQ004-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ007,L0017,1601939585913,BQ007-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ007,L0017,1601939711161,BQ007-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ007,L0017,1601939701201,BQ007-O1,2026-W35,0,0,0%,1,0,Y,流量来源与访客地域均未披露,UNATTRIBUTED_VISITOR_PROTECT_WAIT_D7
BQ016,201,1601939608691,BQ016-W1,2026-W35,1,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ016,201,1601939691301,BQ016-R1,2026-W35,1,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ016,201,1601939633580,BQ016-O1,2026-W35,3,0,0%,0,0,Y,,SMALL_SAMPLE_WAIT_D7
BQ012,M8506,1601939650458,BQ012-W1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ012,M8506,1601939681367,BQ012-R1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
BQ012,M8506,1601939606805,BQ012-O1,2026-W35,0,0,0%,0,0,N,,NO_SAMPLE_WAIT_D7
