product_id,model,title,image_no,url,status,reason,cache,metrics
1601939651515,,Wholesale Regular Fit Knit Lace-Up Casual Walking Shoes Large Size Factory Supply Model ZX2212,1,https://sc04.alicdn.com/kf/Sf849ce3cd2aa4cb68306c62b3c21baadf.jpg,REVIEW,主体占画布偏小(0.32)，需人工确认点击辨识度,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\670fbf8c5045dc2c3493f1e28f322409504f8ae2.jpg,border_var=5.0;occupancy=0.32;edge_chroma=0.00;edge_dark=0.02
12000003229472,,OEM Breathable Mesh Chunky Walking Shoes Lightweight Cushioned Lace-Up Casual Sneakers EU 36-45,1,https://sc04.alicdn.com/kf/Af93deb2bf62f486296b993a44c1d9492B.png,PASS_HEURISTIC,,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\359e1024e3b48a770ce35985aee225ce881ebf87.jpg,border_var=0.3;occupancy=0.75;edge_chroma=0.01;edge_dark=0.05
1601939751023,,Regular Fit Knit Lace-Up Casual Walking Shoes Large Size for Large Size Daily Walking and Casual Wear Model ZX2212,1,https://sc04.alicdn.com/kf/Sffb2ded9b1374897ba85ef82c6d4161eg.jpg,REVIEW,主体占画布偏小(0.30)，需人工确认点击辨识度,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\f9a7546680f267ef92c05ece864dc1fcb3c0db9a.jpg,border_var=11.0;occupancy=0.30;edge_chroma=0.00;edge_dark=0.00
1601939722196,,Custom Logo Regular Fit Knit Lace-Up Casual Walking Shoes Large Size OEM ODM Private Label Footwear Supplier Model ZX2212,1,https://sc04.alicdn.com/kf/S3bdd33085efc4671a99fd2df7ca64f03T.jpg,REVIEW,主体占画布偏小(0.33)，需人工确认点击辨识度,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\ee5039e4e4f4c7fecb9c0e1c70250955b572d7bf.jpg,border_var=11.7;occupancy=0.33;edge_chroma=0.03;edge_dark=0.01
1601939693331,,Wholesale Wide Toe Box Knit Lace-Up Walking Shoes Large Size Factory Supply Model ZX2116,1,https://sc04.alicdn.com/kf/S1f966b8e448444349ed38518718a73f3P.jpg,REVIEW,主体占画布偏小(0.32)，需人工确认点击辨识度,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\3629268a77025eb06316736c28d2557d0598fe98.jpg,border_var=5.0;occupancy=0.32;edge_chroma=0.00;edge_dark=0.03
1601939667426,,Wide Toe Box Knit Lace-Up Walking Shoes Large Size for Wide Fit Daily Walking Model ZX2116,1,https://sc04.alicdn.com/kf/S1c996f7849634717932581493a6a7d95m.jpg,REVIEW,主体占画布偏小(0.33)，需人工确认点击辨识度,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\e6cf6dc807965cc88e182935ecb24954d5b7a4e5.jpg,border_var=11.0;occupancy=0.33;edge_chroma=0.00;edge_dark=0.00
1601939672381,,Wholesale Kids Knit Lace-Up Walking Shoes Factory Supply Model A811,1,https://sc04.alicdn.com/kf/S1f8c34ec59fb44f9b697521a5624f72e1.jpg,PASS_HEURISTIC,,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\b6a191cc00ec5e3def5badc524227db61ff50bcd.jpg,border_var=5.0;occupancy=0.37;edge_chroma=0.00;edge_dark=0.00
1601939754004,,Custom Logo Wide Toe Box Knit Lace-Up Walking Shoes Large Size OEM ODM Private Label Footwear Supplier Model ZX2116,1,https://sc04.alicdn.com/kf/Sb115546e7d1b4ca29fa4956c07f7de058.jpg,PASS_HEURISTIC,,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\a9676b62463def2cb4cbc98a13711451bae11671.jpg,border_var=0.0;occupancy=0.51;edge_chroma=0.05;edge_dark=0.04
1601939679363,,Kids Knit Lace-Up Walking Shoes for Kids School and Daily Walking Model A811,1,https://sc04.alicdn.com/kf/Se6f7a88bf0814211a0583bce9bbb684ef.jpg,PASS_HEURISTIC,,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\6ec059ec8649fac6874c2c6d67d16a9cff14c5d9.jpg,border_var=11.0;occupancy=0.37;edge_chroma=0.00;edge_dark=0.00
1601939615744,,Custom Logo Kids Knit Lace-Up Walking Shoes OEM ODM Private Label Footwear Supplier Model A811,1,https://sc04.alicdn.com/kf/S2d7798ce7e974e94ac02f9ff94a1e5f2s.jpg,PASS_HEURISTIC,,C:\Users\spq\Desktop\贝强\02_Alibaba运营\01_店铺与全店诊断\全量商品审查_2026-09-04\主图视觉二次筛查_2026-09-04\cache\89478c6bff50123344302577c848ec86f6efbab2.jpg,border_var=11.7;occupancy=0.53;edge_chroma=0.00;edge_dark=0.00
