product_id,model,title_model,title_repeat,keyword_candidate,attribute_semantic_candidate,wide_toe_candidate,confirmed_error_candidate,notes
1601939651515,BQ032-W1 / ZX2212,PASS,NONE,NONE,MACHINE_CANDIDATE,NONE,NONE,Regular Fit | Rubber | All Seasons | Walking Shoes | Rubber | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ032-W1 / ZX2212 | Knitted Textile Upper
12000003229472,DZ14546082-A,CONFIRMED_ERROR,NONE,NONE,MACHINE_CANDIDATE,NONE,TITLE_MODEL,EVA | Walking Shoes | Rubber | Mesh | Lace-up | Round Toe | Mixed Colors | Mesh | Light Weight | Cushioning | CN;FUJ | DZ14546082-A
1601939751023,BQ032-R1 / ZX2212,PASS,MACHINE_CANDIDATE,NONE,MACHINE_CANDIDATE,NONE,NONE,Regular Fit | Rubber | All Seasons | Walking Shoes | Rubber | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ032-R1 / ZX2212 | Knitted Textile Upper
1601939722196,BQ032-O1 / ZX2212,PASS,NONE,NONE,MACHINE_CANDIDATE,NONE,NONE,Regular Fit | Rubber | All Seasons | Walking Shoes | Rubber | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ032-O1 / ZX2212 | Knitted Textile Upper
1601939693331,BQ031-W1 / ZX2116,PASS,NONE,NONE,MACHINE_CANDIDATE,NONE,NONE,Wide Toe Box | EVA | All Seasons | Walking Shoes | EVA | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ031-W1 / ZX2116 | Knitted Textile Upper
1601939667426,BQ031-R1 / ZX2116,PASS,NONE,NONE,MACHINE_CANDIDATE,NONE,NONE,Wide Toe Box | EVA | All Seasons | Walking Shoes | EVA | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ031-R1 / ZX2116 | Knitted Textile Upper
1601939672381,BQ030-W1 / A811,PASS,NONE,NONE,NONE,NONE,NONE,Regular Fit | EVA | All Seasons | Walking Shoes | EVA | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ030-W1 / A811 | Textile
1601939754004,BQ031-O1 / ZX2116,PASS,NONE,NONE,MACHINE_CANDIDATE,NONE,NONE,Wide Toe Box | EVA | All Seasons | Walking Shoes | EVA | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ031-O1 / ZX2116 | Knitted Textile Upper
1601939679363,BQ030-R1 / A811,PASS,NONE,NONE,NONE,NONE,NONE,Regular Fit | EVA | All Seasons | Walking Shoes | EVA | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ030-R1 / A811 | Textile
1601939615744,BQ030-O1 / A811,PASS,NONE,NONE,NONE,NONE,NONE,Regular Fit | EVA | All Seasons | Walking Shoes | EVA | Lace-up | Round Toe | Light Weight | Breathable | CN | BQ030-O1 / A811 | Textile
1601939607770,BQ029-R1 / A025,PASS,NONE,NONE,NONE,NONE,NONE,Regular Fit | EVA | All Seasons | Walking Shoes | EVA | Slip-On | Round Toe | Light Weight | Breathable | CN | BQ029-R1 / A025 | Textile
1601939749045,BQ029-W1 / A025,PASS,NONE,NONE,NONE,NONE,NONE,Regular Fit | EVA | All Seasons | Walking Shoes | EVA | Slip-On | Round Toe | Light Weight | Breathable | CN | BQ029-W1 / A025 | Textile
