productId,encryptedProductId,apiReadOk,apiReadError,title,modelNumber,categoryId,categoryName,status,display,mainImageCount,skuColorCount,skuColors,skuSizeCount,skuSizes,skuTotalCount,detailType,productDetailImageCount,companyImageCount,video,fobMinPrice,fobMaxPrice,currency,moq,unit,leadTime100Pairs,package,badUrlCount,badUrls,url,gmtModified
1601939651515,AAF2jmk4AOWGex-cDVm7jTxY,True,,Wholesale Regular Fit Knit Lace-Up Casual Walking Shoes Large Size Factory Supply Model ZX2212,BQ032-W1 / ZX2212,201334413,,approved,Y,6,6,White | Grey | Apricot | Blue | All Black | Black/White,10,43 | 42 | 45 | 44 | 47 | 46 | 39 | 38 | 41 | 40,60,STRUCTURED,4,5,not returned by product.list/get,9.09,9.49,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Wholesale-Regular-Fit-Knit-Lace-Up_1601939651515.html,2026-09-04 23:44:45
12000003229472,AAHcjmk4AOWGexScDcS3aADD,True,,OEM Breathable Mesh Chunky Walking Shoes Lightweight Cushioned Lace-Up Casual Sneakers EU 36-45,DZ14546082-A,201334413,Breathable Lace-Up Walking Shoes,modified,N,6,3,Black Dark Gray | Cool Gray Black | Ivory Navy,10,45 | 42 | 41 | 44 | 43 | 38 | 37 | 40 | 39 | 36,30,STRUCTURED,4,5,not returned by product.list/get,9.09,9.49,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/OEM-Breathable-Mesh-Chunky-Walking-Shoes_12000003229472.html,2026-09-05 00:43:38
1601939751023,AAGyjmk4AOWGex-cDVm7iseM,True,,Regular Fit Knit Lace-Up Casual Walking Shoes Large Size for Large Size Daily Walking and Casual Wear Model ZX2212,BQ032-R1 / ZX2212,201334413,,approved,Y,6,6,Grey | White | Blue | Apricot | All Black | Black/White,10,43 | 44 | 45 | 46 | 39 | 40 | 41 | 42 | 47 | 38,60,STRUCTURED,4,5,not returned by product.list/get,9.13,9.53,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Regular-Fit-Knit-Lace-Up-Casual_1601939751023.html,2026-09-05 00:05:45
1601939722196,AAFejmk4AOWGex-cDVm7ikg3,True,,Custom Logo Regular Fit Knit Lace-Up Casual Walking Shoes Large Size OEM ODM Private Label Footwear Supplier Model ZX2212,BQ032-O1 / ZX2212,201334413,,approved,Y,6,6,White | Apricot | Blue | All Black | Black/White | Grey,10,44 | 45 | 42 | 43 | 40 | 41 | 38 | 39 | 46 | 47,60,STRUCTURED,4,5,not returned by product.list/get,9.05,9.45,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Custom-Logo-Regular-Fit-Knit-Lace_1601939722196.html,2026-09-05 00:01:01
1601939693331,AAGqjmk4AOWGex-cDVm7jdjw,False,"{""returncode"": 2, ""response_error"": {""type"": ""ISV"", ""code"": ""ApiCallLimit"", ""msg"": ""Api access frequency exceeds the limit. this ban will last 1 seconds"", ""request_id"": ""213c933517885404757567605"", ""_trace_id_"": ""210141f717885404756223678e0bf7""}, ""_stderr_tail"": """", ""_stdout_tail"": ""{\n  \""error_response\"": {\n    \""type\"": \""ISV\"",\n    \""code\"": \""ApiCallLimit\"",\n    \""msg\"": \""Api access frequency exceeds the limit. this ban will last 1 seconds\"",\n    \""request_id\"": \""213c933517885404757567605\"",\n    \""_trace_id_\"": \""210141f717885404756223678e0bf7\""\n  }\n}\n""}",Wholesale Wide Toe Box Knit Lace-Up Walking Shoes Large Size Factory Supply Model ZX2116,BQ031-W1 / ZX2116,,,approved,Y,,,,,,,UNRESOLVED,,,not returned by product.list/get,,,,,,,not returned by product.list/get,,,https://www.alibaba.com/product-detail/Wholesale-Wide-Toe-Box-Knit-Lace_1601939693331.html,
1601939667426,AAFhjmk4AOWGex-cDVm7jX4B,True,,Wide Toe Box Knit Lace-Up Walking Shoes Large Size for Wide Fit Daily Walking Model ZX2116,BQ031-R1 / ZX2116,201334413,,approved,Y,6,5,Grey/White | Black/White | All Black | Green/White | Off White,10,42 | 43 | 40 | 41 | 38 | 39 | 46 | 47 | 44 | 45,50,STRUCTURED,4,5,not returned by product.list/get,9.13,9.53,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Wide-Toe-Box-Knit-Lace-Up_1601939667426.html,2026-09-04 23:46:57
1601939672381,AAHKjmk4AOWGex-cDVm7jYre,True,,Wholesale Kids Knit Lace-Up Walking Shoes Factory Supply Model A811,BQ030-W1 / A811,201334413,,approved,Y,6,4,Green | Grey | Purple | Pink,10,40 | 38 | 39 | 36 | 37 | 34 | 35 | 32 | 33 | 31,40,STRUCTURED,4,5,not returned by product.list/get,9.09,9.49,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Wholesale-Kids-Knit-Lace-Up-Walking_1601939672381.html,2026-09-04 23:52:40
1601939754004,AAGhjmk4AOWGex-cDVm7isv3,True,,Custom Logo Wide Toe Box Knit Lace-Up Walking Shoes Large Size OEM ODM Private Label Footwear Supplier Model ZX2116,BQ031-O1 / ZX2116,201334413,,approved,Y,6,5,Black/White | All Black | Green/White | Off White | Grey/White,10,44 | 43 | 42 | 41 | 40 | 39 | 38 | 47 | 46 | 45,50,STRUCTURED,4,5,not returned by product.list/get,9.05,9.45,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Custom-Logo-Wide-Toe-Box-Knit_1601939754004.html,2026-09-05 00:06:18
1601939679363,AAHxjmk4AOWGex-cDVm7ja9g,True,,Kids Breathable Light Weight Knit Lace-Up Walking Shoes for School and Daily Use Model A811,BQ030-R1 / A811,201334413,,approved,Y,6,4,Green | Grey | Purple | Pink,10,38 | 39 | 40 | 34 | 35 | 36 | 37 | 31 | 32 | 33,40,STRUCTURED,4,5,not returned by product.list/get,9.13,9.53,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Kids-Breathable-Light-Weight-Knit-Lace_1601939679363.html,2026-09-04 23:53:10
1601939615744,AAH7jmk4AOWGex-cDVm7jLfj,True,,Custom Logo Kids Knit Lace-Up Walking Shoes OEM ODM Private Label Footwear Supplier Model A811,BQ030-O1 / A811,201334413,,approved,Y,6,4,Green | Grey | Purple | Pink,10,39 | 40 | 37 | 38 | 35 | 36 | 33 | 34 | 31 | 32,40,STRUCTURED,4,5,not returned by product.list/get,9.05,9.45,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Custom-Logo-Kids-Knit-Lace-Up_1601939615744.html,2026-09-04 23:41:35
1601939607770,AAExjmk4AOWGex-cDVm7jJc5,True,,High Top Knit Slip-On Breathable Light Weight Walking Shoes for Autumn Winter Casual Model A025,BQ029-R1 / A025,201334413,,approved,Y,6,2,Black White | All Black,11,45 | 35 | 43 | 44 | 41 | 42 | 39 | 40 | 37 | 38 | 36,22,STRUCTURED,4,5,not returned by product.list/get,9.13,9.53,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/High-Top-Knit-Slip-On-Breathable_1601939607770.html,2026-09-04 23:40:17
1601939749045,AAH0jmk4AOWGex-cDVm7ir9W,True,,Wholesale High Top Knit Slip-On Walking Shoes Factory Supply Model A025,BQ029-W1 / A025,201334413,,approved,Y,6,2,All Black | Black White,11,42 | 43 | 44 | 45 | 38 | 39 | 40 | 41 | 35 | 36 | 37,22,STRUCTURED,4,5,not returned by product.list/get,9.09,9.49,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Wholesale-High-Top-Knit-Slip-On_1601939749045.html,2026-09-05 00:04:52
1601939721228,AAEZjmk4AOWGex-cDVm7ikvv,True,,Custom Logo High Top Knit Slip-On Walking Shoes OEM ODM Private Label Footwear Supplier Model A025,BQ029-O1 / A025,201334413,,approved,Y,6,2,Black White | All Black,11,42 | 43 | 40 | 41 | 38 | 39 | 36 | 37 | 35 | 45 | 44,22,STRUCTURED,4,5,not returned by product.list/get,9.05,9.45,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Custom-Logo-High-Top-Knit-Slip_1601939721228.html,2026-09-05 00:00:25
1601939720204,AAEdjmk4AOWGex-cDVm7ik_v,True,,Wholesale Knit Slip-On Biscuit Sole Casual Walking Shoes Factory Supply Model BISCUIT,BQ028-W1 / BISCUIT,201334413,,approved,Y,6,5,Blue | Grey | Black White | White | Apricot,11,45 | 43 | 42 | 44 | 39 | 38 | 41 | 40 | 35 | 37 | 36,55,STRUCTURED,4,5,not returned by product.list/get,9.09,9.49,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Wholesale-Knit-Slip-On-Biscuit-Sole_1601939720204.html,2026-09-04 23:59:46
1601939625627,AAEqjmk4AOWGex-cDVm7jNF4,True,,Knit Slip-On Biscuit Sole Casual Walking Shoes for Travel Commuting and Daily Wear Model BISCUIT,BQ028-R1 / BISCUIT,201334413,,approved,Y,6,5,Blue | Grey | Black White | White | Apricot,11,42 | 43 | 44 | 45 | 38 | 39 | 40 | 41 | 35 | 36 | 37,55,STRUCTURED,4,5,not returned by product.list/get,9.13,9.53,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Knit-Slip-On-Biscuit-Sole-Casual_1601939625627.html,2026-09-04 23:42:45
1601939705262,AAE2jmk4AOWGex-cDVm7igpN,True,,Custom Logo Knit Slip-On Biscuit Sole Casual Walking Shoes OEM ODM Private Label Footwear Supplier Model BISCUIT,BQ028-O1 / BISCUIT,201334413,,approved,Y,6,5,Black White | White | Apricot | Grey | Blue,11,45 | 44 | 43 | 42 | 41 | 40 | 39 | 38 | 37 | 36 | 35,55,STRUCTURED,4,5,not returned by product.list/get,9.05,9.45,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Custom-Logo-Knit-Slip-On-Biscuit_1601939705262.html,2026-09-04 23:57:01
1601939616762,AAGujmk4AOWGex-cDVm7jLQZ,True,,Wholesale Knit Lace Detail Casual Walking Shoes Factory Supply Model K6116,BQ027-W1 / K6116,201334413,,approved,Y,6,4,Cream | Grey | Black White | Black,11,36 | 35 | 38 | 37 | 43 | 42 | 45 | 44 | 39 | 41 | 40,44,STRUCTURED,4,5,not returned by product.list/get,9.09,9.49,USD,2,Pair,31,not returned by product.list/get,0,,https://www.alibaba.com/product-detail/Wholesale-Knit-Lace-Detail-Casual-Walking_1601939616762.html,2026-09-04 23:42:08
